"","subject","activity","tBodyAcc-mean()-X.mn","tBodyAcc-mean()-X.n","tBodyAcc-mean()-Y.mn","tBodyAcc-mean()-Y.n","tBodyAcc-mean()-Z.mn","tBodyAcc-mean()-Z.n","tBodyAcc-std()-X.mn","tBodyAcc-std()-X.n","tBodyAcc-std()-Y.mn","tBodyAcc-std()-Y.n","tBodyAcc-std()-Z.mn","tBodyAcc-std()-Z.n","tGravityAcc-mean()-X.mn","tGravityAcc-mean()-X.n","tGravityAcc-mean()-Y.mn","tGravityAcc-mean()-Y.n","tGravityAcc-mean()-Z.mn","tGravityAcc-mean()-Z.n","tGravityAcc-std()-X.mn","tGravityAcc-std()-X.n","tGravityAcc-std()-Y.mn","tGravityAcc-std()-Y.n","tGravityAcc-std()-Z.mn","tGravityAcc-std()-Z.n","tBodyAccJerk-mean()-X.mn","tBodyAccJerk-mean()-X.n","tBodyAccJerk-mean()-Y.mn","tBodyAccJerk-mean()-Y.n","tBodyAccJerk-mean()-Z.mn","tBodyAccJerk-mean()-Z.n","tBodyAccJerk-std()-X.mn","tBodyAccJerk-std()-X.n","tBodyAccJerk-std()-Y.mn","tBodyAccJerk-std()-Y.n","tBodyAccJerk-std()-Z.mn","tBodyAccJerk-std()-Z.n","tBodyGyro-mean()-X.mn","tBodyGyro-mean()-X.n","tBodyGyro-mean()-Y.mn","tBodyGyro-mean()-Y.n","tBodyGyro-mean()-Z.mn","tBodyGyro-mean()-Z.n","tBodyGyro-std()-X.mn","tBodyGyro-std()-X.n","tBodyGyro-std()-Y.mn","tBodyGyro-std()-Y.n","tBodyGyro-std()-Z.mn","tBodyGyro-std()-Z.n","tBodyGyroJerk-mean()-X.mn","tBodyGyroJerk-mean()-X.n","tBodyGyroJerk-mean()-Y.mn","tBodyGyroJerk-mean()-Y.n","tBodyGyroJerk-mean()-Z.mn","tBodyGyroJerk-mean()-Z.n","tBodyGyroJerk-std()-X.mn","tBodyGyroJerk-std()-X.n","tBodyGyroJerk-std()-Y.mn","tBodyGyroJerk-std()-Y.n","tBodyGyroJerk-std()-Z.mn","tBodyGyroJerk-std()-Z.n","tBodyAccMag-mean().mn","tBodyAccMag-mean().n","tBodyAccMag-std().mn","tBodyAccMag-std().n","tGravityAccMag-mean().mn","tGravityAccMag-mean().n","tGravityAccMag-std().mn","tGravityAccMag-std().n","tBodyAccJerkMag-mean().mn","tBodyAccJerkMag-mean().n","tBodyAccJerkMag-std().mn","tBodyAccJerkMag-std().n","tBodyGyroMag-mean().mn","tBodyGyroMag-mean().n","tBodyGyroMag-std().mn","tBodyGyroMag-std().n","tBodyGyroJerkMag-mean().mn","tBodyGyroJerkMag-mean().n","tBodyGyroJerkMag-std().mn","tBodyGyroJerkMag-std().n","fBodyAcc-mean()-X.mn","fBodyAcc-mean()-X.n","fBodyAcc-mean()-Y.mn","fBodyAcc-mean()-Y.n","fBodyAcc-mean()-Z.mn","fBodyAcc-mean()-Z.n","fBodyAcc-std()-X.mn","fBodyAcc-std()-X.n","fBodyAcc-std()-Y.mn","fBodyAcc-std()-Y.n","fBodyAcc-std()-Z.mn","fBodyAcc-std()-Z.n","fBodyAccJerk-mean()-X.mn","fBodyAccJerk-mean()-X.n","fBodyAccJerk-mean()-Y.mn","fBodyAccJerk-mean()-Y.n","fBodyAccJerk-mean()-Z.mn","fBodyAccJerk-mean()-Z.n","fBodyAccJerk-std()-X.mn","fBodyAccJerk-std()-X.n","fBodyAccJerk-std()-Y.mn","fBodyAccJerk-std()-Y.n","fBodyAccJerk-std()-Z.mn","fBodyAccJerk-std()-Z.n","fBodyGyro-mean()-X.mn","fBodyGyro-mean()-X.n","fBodyGyro-mean()-Y.mn","fBodyGyro-mean()-Y.n","fBodyGyro-mean()-Z.mn","fBodyGyro-mean()-Z.n","fBodyGyro-std()-X.mn","fBodyGyro-std()-X.n","fBodyGyro-std()-Y.mn","fBodyGyro-std()-Y.n","fBodyGyro-std()-Z.mn","fBodyGyro-std()-Z.n","fBodyAccMag-mean().mn","fBodyAccMag-mean().n","fBodyAccMag-std().mn","fBodyAccMag-std().n","fBodyBodyAccJerkMag-mean().mn","fBodyBodyAccJerkMag-mean().n","fBodyBodyAccJerkMag-std().mn","fBodyBodyAccJerkMag-std().n","fBodyBodyGyroMag-mean().mn","fBodyBodyGyroMag-mean().n","fBodyBodyGyroMag-std().mn","fBodyBodyGyroMag-std().n","fBodyBodyGyroJerkMag-mean().mn","fBodyBodyGyroJerkMag-mean().n","fBodyBodyGyroJerkMag-std().mn","fBodyBodyGyroJerkMag-std().n"
"1",25,"LAYING",  0.2815879, 67.0000000, -0.02329409, 67.00000000, -0.11134287, 67.00000000, -0.3544958, 67.0000000, -0.12207697, 67.00000000, -0.3585638, 67.0000000,  0.9522084, 67.0000000, -0.16165490, 67.00000000,  0.04667909, 67.00000000, -0.9674714, 67.0000000, -0.9445336, 67.0000000, -0.9125988, 67.0000000,  0.10428142, 67.00000000,-1.544588e-03, 6.700000e+01,-1.579076e-02, 6.700000e+01, -0.5509053, 67.0000000, -0.4390234, 67.0000000, -0.7304739, 67.0000000, 4.460951e-02, 6.700000e+01, -0.11472483, 67.00000000,  0.08446354, 67.00000000, -0.3523280, 67.0000000, -0.44725081, 67.00000000, -0.4952932, 67.0000000, -0.11493581, 67.00000000, -0.03802046, 67.00000000, -0.05413207, 67.00000000, -0.5085410, 67.0000000, -0.7947387, 67.0000000, -0.6421437, 67.0000000, -0.2428821, 67.0000000, -0.3556562, 67.0000000, -0.2428821, 67.0000000, -0.3556562, 67.0000000, -0.5449459, 67.0000000, -0.5433494, 67.0000000, -0.23481704, 67.00000000, -0.3499894, 67.0000000, -0.6828570, 67.0000000, -0.7229520, 67.0000000, -0.4360345, 67.0000000, -0.22719825, 67.00000000, -0.5362729, 67.0000000, -0.3261819, 67.0000000, -0.12667002, 67.00000000, -0.3233895, 67.0000000, -0.5632978, 67.0000000, -0.4772007, 67.0000000, -0.7088713, 67.0000000, -0.5793915, 67.0000000, -0.4352508, 67.0000000, -0.7509575, 67.0000000, -0.3087120, 67.0000000, -0.5956336, 67.0000000, -0.4893087, 67.0000000, -0.3722717, 67.0000000, -0.37796187, 67.00000000, -0.5442003, 67.0000000, -0.38184414, 67.00000000, -0.4419532, 67.0000000, -0.5290747, 67.0000000, -0.5668156, 67.0000000, -0.4826373, 67.0000000, -0.3795175, 67.0000000, -0.7257918, 67.0000000, -0.7393607, 67.0000000
"2",26,"LAYING",  0.2730366,392.0000000, -0.01616873,392.00000000, -0.10763789,392.00000000, -0.6231010,392.0000000, -0.58596714,392.00000000, -0.7049806,392.0000000,  0.6151235,392.0000000,  0.10870478,392.00000000,  0.23410701,392.00000000, -0.9678179,392.0000000, -0.9597136,392.0000000, -0.9556434,392.0000000,  0.08087433,392.00000000, 7.677100e-03, 3.920000e+02,-7.248919e-03, 3.920000e+02, -0.6828157,392.0000000, -0.6783866,392.0000000, -0.7783495,392.0000000,-2.065993e-02, 3.920000e+02, -0.08274151,392.00000000,  0.09178533,392.00000000, -0.7666740,392.0000000, -0.80067547,392.00000000, -0.7033472,392.0000000, -0.09881256,392.00000000, -0.04047640,392.00000000, -0.05582827,392.00000000, -0.7323214,392.0000000, -0.8361122,392.0000000, -0.7731015,392.0000000, -0.6009323,392.0000000, -0.6203558,392.0000000, -0.6009323,392.0000000, -0.6203558,392.0000000, -0.6949179,392.0000000, -0.6774263,392.0000000, -0.69459766,392.00000000, -0.7518337,392.0000000, -0.7983259,392.0000000, -0.8182791,392.0000000, -0.6510903,392.0000000, -0.61042583,392.00000000, -0.7240461,392.0000000, -0.6134996,392.0000000, -0.60027481,392.00000000, -0.7184905,392.0000000, -0.6994132,392.0000000, -0.6967265,392.0000000, -0.7695653,392.0000000, -0.6943145,392.0000000, -0.6803581,392.0000000, -0.7860491,392.0000000, -0.7031096,392.0000000, -0.7993531,392.0000000, -0.6894048,392.0000000, -0.7874031,392.0000000, -0.80363534,392.00000000, -0.7359424,392.0000000, -0.63175698,392.00000000, -0.6739178,392.0000000, -0.6792783,392.0000000, -0.6780258,392.0000000, -0.7705049,392.0000000, -0.7826243,392.0000000, -0.8238653,392.0000000, -0.8239914,392.0000000
"3",27,"LAYING",  0.2772646,376.0000000, -0.01679692,376.00000000, -0.11084830,376.00000000, -0.6609761,376.0000000, -0.63046049,376.00000000, -0.6832153,376.0000000,  0.6272301,376.0000000,  0.03224239,376.00000000,  0.14116870,376.00000000, -0.9746202,376.0000000, -0.9725052,376.0000000, -0.9592004,376.0000000,  0.07683204,376.00000000, 6.177150e-03, 3.760000e+02,-4.950006e-03, 3.760000e+02, -0.7005500,376.0000000, -0.6747923,376.0000000, -0.7836321,376.0000000,-6.088876e-02, 3.760000e+02, -0.05521779,376.00000000,  0.10894709,376.00000000, -0.7958536,376.0000000, -0.80204872,376.00000000, -0.6741285,376.0000000, -0.08930660,376.00000000, -0.04504145,376.00000000, -0.05862547,376.00000000, -0.8210758,376.0000000, -0.8373202,376.0000000, -0.7829456,376.0000000, -0.6279477,376.0000000, -0.6778742,376.0000000, -0.6279477,376.0000000, -0.6778742,376.0000000, -0.7018074,376.0000000, -0.6960034,376.0000000, -0.69401602,376.00000000, -0.7547133,376.0000000, -0.8230677,376.0000000, -0.8372129,376.0000000, -0.6814548,376.0000000, -0.64126784,376.00000000, -0.7154829,376.0000000, -0.6546594,376.0000000, -0.64950667,376.00000000, -0.6921308,376.0000000, -0.7145547,376.0000000, -0.6945097,376.0000000, -0.7685745,376.0000000, -0.7128580,376.0000000, -0.6757448,376.0000000, -0.7973034,376.0000000, -0.7685057,376.0000000, -0.7954340,376.0000000, -0.7027885,376.0000000, -0.8062884,376.0000000, -0.80879185,376.00000000, -0.6971473,376.0000000, -0.66718580,376.00000000, -0.7348831,376.0000000, -0.6885728,376.0000000, -0.7075314,376.0000000, -0.7859536,376.0000000, -0.7778104,376.0000000, -0.8375860,376.0000000, -0.8482600,376.0000000
"4",28,"LAYING",  0.2775326,382.0000000, -0.01917214,382.00000000, -0.10971087,382.00000000, -0.6490404,382.0000000, -0.57365190,382.00000000, -0.6858214,382.0000000,  0.6237679,382.0000000, -0.14757776,382.00000000, -0.04699310,382.00000000, -0.9738733,382.0000000, -0.9603656,382.0000000, -0.9462256,382.0000000,  0.08072631,382.00000000, 1.382244e-02, 3.820000e+02, 8.242083e-04, 3.820000e+02, -0.6808137,382.0000000, -0.6516198,382.0000000, -0.8008706,382.0000000,-6.449635e-02, 3.820000e+02, -0.04714740,382.00000000,  0.10084028,382.00000000, -0.7402766,382.0000000, -0.74128554,382.00000000, -0.6697897,382.0000000, -0.08812136,382.00000000, -0.04479726,382.00000000, -0.06076807,382.00000000, -0.7205157,382.0000000, -0.8250388,382.0000000, -0.7697560,382.0000000, -0.6100309,382.0000000, -0.6358212,382.0000000, -0.6100309,382.0000000, -0.6358212,382.0000000, -0.6894294,382.0000000, -0.6877034,382.0000000, -0.64853864,382.00000000, -0.7109568,382.0000000, -0.7892949,382.0000000, -0.8057384,382.0000000, -0.6541565,382.0000000, -0.58493250,382.00000000, -0.7151345,382.0000000, -0.6478072,382.0000000, -0.59511047,382.00000000, -0.6957673,382.0000000, -0.6867238,382.0000000, -0.6707181,382.0000000, -0.7790617,382.0000000, -0.7040734,382.0000000, -0.6548559,382.0000000, -0.8217155,382.0000000, -0.6743567,382.0000000, -0.7470679,382.0000000, -0.6735139,382.0000000, -0.7620310,382.0000000, -0.74081945,382.00000000, -0.7002913,382.0000000, -0.62876325,382.00000000, -0.6969940,382.0000000, -0.6754287,382.0000000, -0.7064158,382.0000000, -0.7379081,382.0000000, -0.7437846,382.0000000, -0.8068822,382.0000000, -0.8184485,382.0000000
"5",29,"LAYING",  0.2791115,344.0000000, -0.01847195,344.00000000, -0.10867561,344.00000000, -0.5742954,344.0000000, -0.59840028,344.00000000, -0.6064613,344.0000000,  0.6830676,344.0000000,  0.11548976,344.00000000,  0.20821537,344.00000000, -0.9732829,344.0000000, -0.9646432,344.0000000, -0.9416218,344.0000000,  0.07883823,344.00000000, 9.001612e-03, 3.440000e+02,-3.552905e-03, 3.440000e+02, -0.6234564,344.0000000, -0.6354998,344.0000000, -0.7937468,344.0000000,-1.018319e-02, 3.440000e+02, -0.08828833,344.00000000,  0.08816263,344.00000000, -0.7346993,344.0000000, -0.63456917,344.00000000, -0.7138646,344.0000000, -0.10070775,344.00000000, -0.04643220,344.00000000, -0.05278600,344.00000000, -0.7361177,344.0000000, -0.8536396,344.0000000, -0.7702213,344.0000000, -0.5535856,344.0000000, -0.5790672,344.0000000, -0.5535856,344.0000000, -0.5790672,344.0000000, -0.6645381,344.0000000, -0.6204720,344.0000000, -0.60222899,344.00000000, -0.6537323,344.0000000, -0.8022939,344.0000000, -0.8401564,344.0000000, -0.5799010,344.0000000, -0.58768631,344.00000000, -0.6805477,344.0000000, -0.5727879,344.0000000, -0.63097884,344.00000000, -0.6025509,344.0000000, -0.6298759,344.0000000, -0.6412891,344.0000000, -0.7684339,344.0000000, -0.6515642,344.0000000, -0.6555261,344.0000000, -0.8182928,344.0000000, -0.6857474,344.0000000, -0.7359723,344.0000000, -0.6892214,344.0000000, -0.7525678,344.0000000, -0.58885799,344.00000000, -0.7491632,344.0000000, -0.58929401,344.00000000, -0.6393142,344.0000000, -0.6098799,344.0000000, -0.6364345,344.0000000, -0.7220184,344.0000000, -0.6714543,344.0000000, -0.8404642,344.0000000, -0.8514624,344.0000000
"6",30,"LAYING",  0.2763058,383.0000000, -0.01758561,383.00000000, -0.10589356,383.00000000, -0.6158908,383.0000000, -0.51904739,383.00000000, -0.5226433,383.0000000,  0.6968582,383.0000000,  0.05126982,383.00000000,  0.18434318,383.00000000, -0.9743191,383.0000000, -0.9522883,383.0000000, -0.9294326,383.0000000,  0.07347993,383.00000000, 7.304383e-03, 3.830000e+02,-6.538719e-04, 3.830000e+02, -0.6790073,383.0000000, -0.6607706,383.0000000, -0.7816445,383.0000000,-3.542293e-02, 3.830000e+02, -0.07174825,383.00000000,  0.08345446,383.00000000, -0.6710058,383.0000000, -0.53899066,383.00000000, -0.5897834,383.0000000, -0.09267690,383.00000000, -0.04129038,383.00000000, -0.04935562,383.00000000, -0.7806364,383.0000000, -0.7989481,383.0000000, -0.7632285,383.0000000, -0.5381312,383.0000000, -0.5881581,383.0000000, -0.5381312,383.0000000, -0.5881581,383.0000000, -0.6970501,383.0000000, -0.6589721,383.0000000, -0.51003275,383.00000000, -0.5737794,383.0000000, -0.7858709,383.0000000, -0.8103985,383.0000000, -0.6356501,383.0000000, -0.55849001,383.00000000, -0.6349585,383.0000000, -0.6092389,383.0000000, -0.53132149,383.00000000, -0.5065704,383.0000000, -0.6853078,383.0000000, -0.6716737,383.0000000, -0.7554322,383.0000000, -0.7018792,383.0000000, -0.6726220,383.0000000, -0.8071849,383.0000000, -0.6674182,383.0000000, -0.6299107,383.0000000, -0.6156993,383.0000000, -0.6768020,383.0000000, -0.49631042,383.00000000, -0.6202534,383.0000000, -0.60037207,383.00000000, -0.6465228,383.0000000, -0.6563397,383.0000000, -0.6646003,383.0000000, -0.6696005,383.0000000, -0.5891927,383.0000000, -0.8112923,383.0000000, -0.8228056,383.0000000
"7", 8,"SITTING",  0.2655566,179.0000000, -0.02034676,179.00000000, -0.10508398,179.00000000, -0.5026995,179.0000000, -0.24299401,179.00000000, -0.3632168,179.0000000,  0.6680930,179.0000000, -0.05201503,179.00000000,  0.03314239,179.00000000, -0.9429883,179.0000000, -0.9443104,179.0000000, -0.9061083,179.0000000,  0.09176854,179.00000000,-9.873076e-04, 1.790000e+02,-2.595219e-02, 1.790000e+02, -0.4903359,179.0000000, -0.3808922,179.0000000, -0.5864575,179.0000000, 2.473836e-02, 1.790000e+02, -0.10374670,179.00000000,  0.05399351,179.00000000, -0.6244931,179.0000000, -0.49102445,179.00000000, -0.3807332,179.0000000, -0.10548028,179.00000000, -0.04322485,179.00000000, -0.05693143,179.00000000, -0.6503027,179.0000000, -0.6216615,179.0000000, -0.6352241,179.0000000, -0.3606427,179.0000000, -0.4781545,179.0000000, -0.3606427,179.0000000, -0.4781545,179.0000000, -0.4432337,179.0000000, -0.4883113,179.0000000, -0.38408975,179.00000000, -0.5148216,179.0000000, -0.6200147,179.0000000, -0.6665493,179.0000000, -0.5044456,179.0000000, -0.27386030,179.00000000, -0.4372752,179.0000000, -0.5047533,179.0000000, -0.27674116,179.00000000, -0.3764497,179.0000000, -0.5099452,179.0000000, -0.4158292,179.0000000, -0.5572093,179.0000000, -0.5167778,179.0000000, -0.3868746,179.0000000, -0.6151021,179.0000000, -0.5639255,179.0000000, -0.4903275,179.0000000, -0.4058337,179.0000000, -0.6456524,179.0000000, -0.49753630,179.00000000, -0.4326923,179.0000000, -0.42711133,179.00000000, -0.5938421,179.0000000, -0.4421040,179.0000000, -0.5588106,179.0000000, -0.5494776,179.0000000, -0.5782232,179.0000000, -0.6500177,179.0000000, -0.7140535,179.0000000
"8",11,"SITTING",  0.2765853,316.0000000, -0.01912725,316.00000000, -0.10894176,316.00000000, -0.5894765,316.0000000, -0.49037935,316.00000000, -0.6653243,316.0000000,  0.7305262,316.0000000,  0.05273870,316.00000000,  0.14020986,316.00000000, -0.9753945,316.0000000, -0.9571388,316.0000000, -0.9568120,316.0000000,  0.08301345,316.00000000, 7.804425e-03, 3.160000e+02,-6.574250e-03, 3.160000e+02, -0.6593231,316.0000000, -0.6087842,316.0000000, -0.8425118,316.0000000,-5.473284e-02, 3.160000e+02, -0.05822758,316.00000000,  0.08728411,316.00000000, -0.7399221,316.0000000, -0.70350177,316.00000000, -0.7250160,316.0000000, -0.08054733,316.00000000, -0.04939141,316.00000000, -0.04801402,316.00000000, -0.7817381,316.0000000, -0.8683773,316.0000000, -0.7954909,316.0000000, -0.5428250,316.0000000, -0.6128823,316.0000000, -0.5428250,316.0000000, -0.6128823,316.0000000, -0.6798195,316.0000000, -0.6642418,316.0000000, -0.62836785,316.00000000, -0.6967714,316.0000000, -0.8268290,316.0000000, -0.8669050,316.0000000, -0.6195240,316.0000000, -0.53145527,316.00000000, -0.7500261,316.0000000, -0.5794918,316.0000000, -0.50257024,316.00000000, -0.6520957,316.0000000, -0.6766730,316.0000000, -0.6323747,316.0000000, -0.8255596,316.0000000, -0.6721956,316.0000000, -0.6094450,316.0000000, -0.8582596,316.0000000, -0.7099493,316.0000000, -0.7768529,316.0000000, -0.7088430,316.0000000, -0.7517583,316.0000000, -0.67089271,316.00000000, -0.7559606,316.0000000, -0.61152807,316.00000000, -0.6744702,316.0000000, -0.6561335,316.0000000, -0.6769251,316.0000000, -0.7575859,316.0000000, -0.7112672,316.0000000, -0.8648270,316.0000000, -0.8792540,316.0000000
"9",14,"SITTING",  0.2701846,323.0000000, -0.01625482,323.00000000, -0.10098594,323.00000000, -0.6116711,323.0000000, -0.37473077,323.00000000, -0.2935427,323.0000000,  0.6720812,323.0000000, -0.11170139,323.00000000, -0.16117973,323.00000000, -0.9412457,323.0000000, -0.9423773,323.0000000, -0.9159278,323.0000000,  0.07417575,323.00000000, 4.436827e-03, 3.230000e+02,-2.530447e-03, 3.230000e+02, -0.6419642,323.0000000, -0.5864596,323.0000000, -0.6568556,323.0000000, 2.536714e-04, 3.230000e+02, -0.09549212,323.00000000,  0.06067124,323.00000000, -0.7286614,323.0000000, -0.39895936,323.00000000, -0.3644782,323.0000000, -0.10755613,323.00000000, -0.04332005,323.00000000, -0.04506938,323.00000000, -0.7862917,323.0000000, -0.6979155,323.0000000, -0.6382991,323.0000000, -0.4532626,323.0000000, -0.4740586,323.0000000, -0.4532626,323.0000000, -0.4740586,323.0000000, -0.6089734,323.0000000, -0.6051443,323.0000000, -0.41645978,323.00000000, -0.4714867,323.0000000, -0.7005209,323.0000000, -0.7270230,323.0000000, -0.6195133,323.0000000, -0.45523762,323.00000000, -0.4406507,323.0000000, -0.6094064,323.0000000, -0.37682999,323.00000000, -0.2750137,323.0000000, -0.6543850,323.0000000, -0.5986995,323.0000000, -0.6187122,323.0000000, -0.6614604,323.0000000, -0.6021589,323.0000000, -0.6944250,323.0000000, -0.6991664,323.0000000, -0.5046332,323.0000000, -0.4239182,323.0000000, -0.7400522,323.0000000, -0.34886419,323.00000000, -0.4076721,323.0000000, -0.49087418,323.00000000, -0.5482699,323.0000000, -0.5968963,323.0000000, -0.6192151,323.0000000, -0.5430305,323.0000000, -0.5169305,323.0000000, -0.7175901,323.0000000, -0.7605601,323.0000000
"10",15,"SITTING",  0.2782134,328.0000000, -0.01646448,328.00000000, -0.11256359,328.00000000, -0.5565412,328.0000000, -0.48167954,328.00000000, -0.7057066,328.0000000,  0.6888725,328.0000000,  0.10266049,328.00000000,  0.03728977,328.00000000, -0.9687334,328.0000000, -0.9563695,328.0000000, -0.9472401,328.0000000,  0.07768974,328.00000000, 4.893921e-03, 3.280000e+02,-4.409932e-03, 3.280000e+02, -0.6240558,328.0000000, -0.5943127,328.0000000, -0.8258209,328.0000000,-2.812788e-02, 3.280000e+02, -0.07587885,328.00000000,  0.09066585,328.00000000, -0.6968595,328.0000000, -0.70877907,328.00000000, -0.7218270,328.0000000, -0.09609101,328.00000000, -0.04412707,328.00000000, -0.05556455,328.00000000, -0.7313827,328.0000000, -0.8539566,328.0000000, -0.7956262,328.0000000, -0.5272854,328.0000000, -0.5571479,328.0000000, -0.5272854,328.0000000, -0.5571479,328.0000000, -0.6547997,328.0000000, -0.6256604,328.0000000, -0.61772178,328.00000000, -0.6753370,328.0000000, -0.8052827,328.0000000, -0.8371201,328.0000000, -0.5837723,328.0000000, -0.50773521,328.00000000, -0.7417457,328.0000000, -0.5471509,328.0000000, -0.50156844,328.00000000, -0.7114313,328.0000000, -0.6434695,328.0000000, -0.6094081,328.0000000, -0.8055435,328.0000000, -0.6376552,328.0000000, -0.6058549,328.0000000, -0.8451111,328.0000000, -0.6643544,328.0000000, -0.7607114,328.0000000, -0.7111945,328.0000000, -0.7093362,328.0000000, -0.68450474,328.00000000, -0.7516965,328.0000000, -0.56294839,328.00000000, -0.6236556,328.0000000, -0.6148176,328.0000000, -0.6431012,328.0000000, -0.7323945,328.0000000, -0.6953468,328.0000000, -0.8368019,328.0000000, -0.8496345,328.0000000
